fileName,a,b,c,d,e,f,g,h,i,j,k,l,m
local4 (34).jpg,0.053241489,0.320383508,0.464303185,0.672070341,0.130410442,0.648998804,0.511216893,0.943685981,0.900716181,0.072710352,0.906462312,0.432243859,0.965435111
local7 (30).jpg,0.000937608,0.090354623,0.763058752,0.392553402,0.132050027,0.71639719,0.352664247,0.968986128,0.935855738,0.062166319,0.877380511,0.325848837,0.932024828
local19 (31).jpg,0.000610664,0.15159434,0.550151455,0.372506975,0.096157576,0.567922276,0.297866605,0.961767848,0.945653584,0.049763979,0.909035966,0.311774432,0.92577872
local46 (31).jpg,0.016749691,0.009364174,0.803387472,0.048165606,0.285663967,0.295821359,0.044233346,0.657342864,0.615187195,0.263619554,0.570881932,0.380213612,0.833021377
local47 (31).jpg,0.000573615,0.227380016,0.269683698,0.340001774,0.086312534,0.369032638,0.222148335,0.930722859,0.946491569,0.039804286,0.948343622,0.234633355,0.844674523
local43 (30).jpg,0.000263701,0.212129724,0.544401548,0.493150127,0.068324012,0.456241716,0.387946007,0.992115069,1,0.031422418,0.960706022,0.202641916,0.828024388
local33 (12).jpg,0.001727663,0.036757892,0.914942869,0.3864245,0.170254657,0.740189027,0.376311051,0.944201506,0.871063969,0.115102063,0.751047475,0.487483225,0.975839488
local38 (28).jpg,0.001094552,0.612762727,0.147586464,0.773652582,0.06852397,0.51122964,0.452205394,0.95184,0.942358878,0.036179823,0.980165488,0.330909125,0.932851506
local34 (29).jpg,0.005597377,0.182966715,0.742733822,0.743423673,0.288916645,0.709121631,0.661260187,0.979092731,0.883732925,0.154749351,0.856903343,0.539268383,0.97762039
local40 (17).jpg,0.004772116,0.041688437,0.839207174,0.256563643,0.251454441,0.852883647,0.24019384,0.93748732,0.860566474,0.131724572,0.78118234,0.50807094,0.977215651
local47 (18).jpg,0.000799415,0.155312844,0.413548459,0.287035395,0.128159638,0.411581395,0.208012812,0.94283152,0.925171118,0.089447745,0.872941673,0.326681098,0.87263437
local36 (30).jpg,0.002575398,0.059062267,0.921003874,0.658078458,0.168154243,0.423726904,0.642830755,0.919411717,0.871992727,0.08720172,0.801043324,0.354378288,0.947030619
local51 (14).jpg,0.000655223,0.115792304,0.632949168,0.342835762,0.117032309,0.57081999,0.287395496,0.957385608,0.942518109,0.063688887,0.884600256,0.292224046,0.871069015
local29 (30).jpg,0.00168517,0.072427269,0.695973577,0.248308094,0.185048951,0.851284226,0.214543889,0.937366057,0.887755238,0.09744759,0.820782706,0.38189256,0.932750082
local13 (12).jpg,0.703360924,0.060589622,0.88899005,0.513973534,0.847485964,0.807843453,0.493986494,0.660302573,0.566737756,0.701646193,0.543915491,0.817185466,0.992510155
local12 (45).jpg,1,0.048273382,0.967333909,1,1,0.846996049,1,0.610376295,0.49106006,1,0.464776212,1,0.999156838
local40 (30).jpg,0.002192775,0.460342812,0.220223858,0.639644586,0.068832281,0.621368944,0.399730607,0.983156546,0.977540402,0.029660489,1,0.253470212,0.863097212
local18 (30).jpg,0.000383024,0.160709638,0.61351419,0.44490128,0.093985205,0.529071375,0.36712106,0.993797447,0.977475073,0.05051325,0.920444789,0.260505464,0.852811509
local42 (17).jpg,0.001247812,0.025887996,0.716833139,0.096097008,0.120983255,0.630630876,0.084226545,0.886038139,0.85185387,0.09589534,0.753610747,0.309472008,0.890035523
local14 (33).jpg,0.00034219,0.130567391,0.644585679,0.388940174,0.081297596,0.456898616,0.326489341,0.979945522,0.980870996,0.034813934,0.934775814,0.235032104,0.886485892
local11 (12).jpg,0.001536256,0.13923138,0.715726157,0.515439213,0.151386176,0.554972117,0.451559698,0.989859703,0.944269737,0.073675275,0.893000029,0.401455483,0.960736028
local21 (30).jpg,0.000910495,0.147865156,0.194134077,0.200020298,0.095791144,0.546375535,0.1228117,0.887204479,0.909283281,0.047229065,0.90380555,0.225210742,0.825589431
local27 (30).jpg,0.001486941,0.103506276,0.84512416,0.654758069,0.118574673,0.435470087,0.614592867,0.950441446,0.905755099,0.055524873,0.868187074,0.275408702,0.907982237
local26 (31).jpg,0.010262063,0.04412725,0.949570694,0.689264122,0.306155374,0.308232885,0.683200625,0.845373978,0.766996445,0.16266076,0.701566711,0.460627727,0.96698301
local1 (36).jpg,0.004605414,0.038701965,0.926549802,0.456623956,0.218277395,0.256821813,0.447317561,0.833627827,0.787657993,0.136661349,0.705096283,0.339256988,0.926393751
local25 (29).jpg,0.001874653,0.314941252,0.367692268,0.552065649,0.155510631,0.330427005,0.391016245,0.912021679,0.853613205,0.089845478,0.843265018,0.387773645,0.929634647
local30 (27).jpg,0.000951265,0.245008945,0.505772123,0.535167702,0.122389924,0.461416904,0.412729209,0.950850421,0.925499909,0.062544565,0.913328514,0.371196314,0.942407447
local42 (30).jpg,0.00049369,0.10816816,0.712233989,0.389273236,0.083604267,0.441352181,0.339344368,0.956303659,0.961369223,0.040852641,0.908213405,0.201539722,0.837897103
local45 (30).jpg,0.000602985,0.114082133,0.691901866,0.386221057,0.088686198,0.495394739,0.332906131,0.95518608,0.948052701,0.04846947,0.891022854,0.232172617,0.858469742
local27 (28).jpg,0.005831245,0.061590697,0.723542711,0.234658108,0.218225745,0.213859275,0.206579485,0.821584427,0.788048614,0.129156996,0.747619731,0.312546293,0.890217319
local49 (15).jpg,0.004578495,0.140737299,0.76067737,0.612925443,0.253198966,0.769437316,0.550833598,0.979870995,0.908447759,0.114387377,0.877992733,0.442466946,0.959241787
local11 (30).jpg,0.00046553,0.205440408,0.44494953,0.416847198,0.060356266,0.578189168,0.313322286,0.958782753,0.974145224,0.035680742,0.934299566,0.241525391,0.884411754
local31 (27).jpg,0.033817542,0.643389836,0.050632192,0.755722015,0.324660438,0.347377532,0.416681929,0.765157628,0.641397789,0.246857927,0.712560794,0.754662074,0.990695413
local34 (30).jpg,0.005713345,0.050477626,0.927657468,0.602633763,0.226648421,0.343165941,0.59068655,0.883934732,0.823351773,0.125737552,0.75645422,0.39790537,0.954792826
local22 (31).jpg,0.036903486,0.03953496,0.418981948,0.079040685,0.317987004,0.892893372,0.059086595,0.666057818,0.538934393,0.620667903,0.383593345,0.997882112,0.999072096
local15 (14).jpg,0.001547311,0.077877591,0.696406583,0.266871197,0.152215715,0.799118013,0.230562849,0.920237262,0.885228662,0.086069225,0.825703342,0.376167509,0.94664526
local20 (31).jpg,0.000510832,0.051900566,0.760969743,0.222319077,0.099016871,0.580426685,0.199320948,0.95717642,0.940062052,0.05139638,0.849096547,0.264538401,0.908015596
local0 (35).jpg,0.00295988,0.084123129,0.886590544,0.696830185,0.19006998,0.380706385,0.668627644,0.898960313,0.846385607,0.106777666,0.778717627,0.362873986,0.945318477
local44 (30).jpg,0.000564058,0.077452126,0.781420512,0.359062074,0.079643254,0.454793084,0.325477533,0.935773202,0.943393505,0.044101844,0.879705187,0.21363439,0.858352623
local17 (45).jpg,0.000263783,0.074209531,0.730791329,0.286651187,0.07314647,0.542513734,0.252925355,0.981269536,0.980415691,0.035985296,0.898646431,0.202073929,0.850730527
local39 (29).jpg,0.001233736,0.293306616,0.419234343,0.557247811,0.077263294,0.557645386,0.408424009,0.987479489,0.989597608,0.029823821,0.988392663,0.216723129,0.80768908
local5 (31).jpg,0.025615159,0.527783249,0.296967892,0.87951052,0.287808111,0.532810917,0.608390492,0.690575667,0.612038921,0.289517816,0.633047191,0.728440703,0.983069829
local48 (31).jpg,0.000895551,0.225799697,0.287307739,0.34757216,0.110707757,0.334162323,0.230805694,0.919724974,0.915151001,0.051664083,0.921644381,0.280491368,0.878731801
local43 (17).jpg,0.005753688,0.054288975,0.890241676,0.462290379,0.322038423,0.808757261,0.44442935,0.96735563,0.876452979,0.146537855,0.776634018,0.55548288,0.989744907
local35 (30).jpg,0.001212765,0.069660286,0.904530595,0.666098757,0.124264582,0.503196153,0.64514692,0.946925368,0.90457082,0.066776643,0.833987697,0.340384413,0.944304267
local49 (30).jpg,0.001077968,0.441693109,0.113839204,0.539849361,0.08337012,0.41617923,0.307662555,0.953669595,0.952062485,0.041311311,0.966510477,0.320089648,0.919833295
local33 (30).jpg,0.00178464,0.068596908,0.904970848,0.658428801,0.16377429,0.450877395,0.637864166,0.946278228,0.891471503,0.07106732,0.827500639,0.364463876,0.954630408
local15 (34).jpg,0.000754771,0.090951521,0.779567095,0.424264904,0.110959733,0.53975623,0.384897471,0.962873946,0.923580013,0.064140481,0.861115323,0.388926071,0.960906206
local10 (31).jpg,0.005024692,0.233377222,0.356695437,0.411332007,0.176304643,0.592033335,0.292051897,0.886400946,0.827611866,0.109868299,0.819207621,0.425875472,0.952691179
local29 (27).jpg,0.001036582,0.263533616,0.483453037,0.55414311,0.121053956,0.475544764,0.421867809,0.954351574,0.931760814,0.058810828,0.926191795,0.361292462,0.941242665
local30 (30).jpg,0.001032477,0.06607064,0.727265777,0.249846909,0.171567787,0.824005041,0.219675234,0.945464134,0.902409844,0.085384076,0.820126822,0.355013555,0.92405908
local25 (31).jpg,0.001415166,0.099204165,0.864299547,0.704456853,0.146423922,0.486868995,0.668035195,0.938327779,0.893730621,0.069203141,0.843503468,0.306754725,0.927188565
local35 (29).jpg,0.000661493,0.224236846,0.413700013,0.428596744,0.120636391,0.389902582,0.314888345,0.966144598,0.948095198,0.067368553,0.909069974,0.335222161,0.890498512
local9 (44).jpg,0.001687603,0.067043059,0.889283894,0.567116976,0.155848381,0.385938938,0.544957953,0.935683227,0.892221001,0.075737594,0.821474727,0.364329308,0.956417716
local24 (28).jpg,0.014704185,0.03561584,0.390930593,0.068177907,0.221858651,0.92671977,0.050120236,0.686136456,0.606828428,0.333400434,0.487952761,0.709742717,0.986044434
local41 (30).jpg,0.007024561,1,-0.176466808,0.925817986,0.144684531,0.432981356,0.39215016,0.758709573,0.732658973,0.101097587,0.805536416,0.480665519,0.962313451
local39 (30).jpg,0.001456711,0.02224854,0.855799789,0.151458365,0.167973735,0.614182626,0.143113967,0.915550958,0.864234405,0.098484964,0.759293714,0.379647431,0.949150427
local26 (29).jpg,0.001401628,0.196792502,0.52397393,0.452394751,0.134763779,0.313886796,0.354659475,0.924715754,0.903646131,0.066140011,0.889234095,0.281874848,0.866716796
local32 (28).jpg,0.012277967,0.030806875,0.403319107,0.059966265,0.206118464,0.905230632,0.044373603,0.696433886,0.623929368,0.283669214,0.52987533,0.681779731,0.985084223
local28 (30).jpg,0.03161256,0.00216037,1,0.116120312,0.392626998,0.062777519,0.118044892,0.577242876,0.521322294,0.375913578,0.445221733,0.390144797,0.838811715
local9 (29).jpg,0.000672861,0.13562929,0.502276655,0.303326419,0.098868824,0.579368382,0.235739073,0.932807265,0.914284156,0.052904556,0.879499833,0.299263583,0.921452748
local45 (16).jpg,0.001443621,0.046704556,0.840740634,0.288253746,0.182764398,0.690110475,0.269936358,0.942326693,0.900004392,0.094490397,0.791145973,0.336682986,0.934272775
local28 (28).jpg,0.06905985,0.001608497,0.989353966,0.057070151,0.550548193,0.077341298,0.05771061,0.515684578,0.459770563,0.486455441,0.400588278,0.355918027,0.747387511
local20 (30).jpg,0.009034749,0.034547011,0.547371946,0.08436374,0.202369934,0.322803052,0.06733964,0.730714665,0.647251266,0.227401329,0.594626527,0.578376743,0.965527981
local10 (46).jpg,0.063327695,0.002349874,0.996505925,0.107980261,0.56527654,0.100530129,0.109579463,0.535884897,0.4749451,0.452564233,0.436703499,0.450951385,0.839600895
local8 (31).jpg,0.009396557,0.108707804,0.517637235,0.256828444,0.188771187,0.298049909,0.20302645,0.704668624,0.652764402,0.214552083,0.607607458,0.643834682,0.983082757
local12 (28).jpg,0.000753883,0.222902723,0.386056479,0.414820139,0.072278665,0.574881616,0.301485511,0.932711451,0.937035078,0.051945619,0.890649565,0.306420598,0.928525483
local22 (30).jpg,0.000491131,0.240339912,0.43885335,0.469266976,0.108124792,0.630267336,0.347659609,0.982905475,0.961949737,0.059735822,0.926705049,0.386481091,0.949180887
local24 (30).jpg,0.000844354,0.107132988,0.665676074,0.336280537,0.098314184,0.664191124,0.285500888,0.969274648,0.944996384,0.062320887,0.87351215,0.314227499,0.925699067
local48 (16).jpg,0.000550546,0.145945814,0.554363381,0.349781458,0.099525486,0.372873469,0.277683706,0.96456218,0.956414468,0.055996388,0.906740418,0.242201119,0.83144378
local31 (30).jpg,0.034867159,0.005169621,0.682958271,0.017311096,0.395710042,1,0.014889999,0.65354058,0.531983215,0.50186553,0.430012461,0.830989865,0.983908907
