Dress Code,Name,Price,Material,Color,Description,Brand,url,Category,isAvailable
f18e60123-multi-khaddar,F18E60123 | Multi | Khaddar ,219000,Khaddar,,Khaddar,Zellbury,https://www.zellbury.com/f18e60123-multi-khaddar.html,ready-to-wear,
f18v90683,F18V90683 | Satin ,399000,Fabric: Satin,,Fabric: Satin,Zellbury,https://www.zellbury.com/f18v90683.html,ready-to-wear,
f18v90668,F18V90668 | Chiffon Viscose ,599000,Fabric: Chiffon Viscose,,Fabric: Chiffon Viscose,Zellbury,https://www.zellbury.com/f18v90668.html,ready-to-wear,
f18v90661,F18V90661 | Chiffon Viscose  ,429000,Fabric: Chiffon Viscose,,Fabric: Chiffon Viscose,Zellbury,https://www.zellbury.com/f18v90661.html,ready-to-wear,
f18m10166,F18M10166 | Khaddar ,119000,Fabric: Khaddar ,,Fabric: Khaddar ,Zellbury,https://www.zellbury.com/f18m10166.html,ready-to-wear,
f18m10163,F18M10163 | Khaddar  ,119000,Fabric: Khaddar ,,Fabric: Khaddar ,Zellbury,https://www.zellbury.com/f18m10163.html,ready-to-wear,
baran,Baran ,349000,"Fabric: Dobby Viscose
Color: Blue",,"Fabric: Dobby Viscose
Color: Blue",Zellbury,https://www.zellbury.com/baran.html,ready-to-wear,
ela,Ela ,299000,"Fabric: Cambric
Color: Beige",,"Fabric: Cambric
Color: Beige",Zellbury,https://www.zellbury.com/ela.html,ready-to-wear,
zeynep,Zeynep ,249000,"Fabric: Cambric
Color: White",,"Fabric: Cambric
Color: White",Zellbury,https://www.zellbury.com/zeynep.html,ready-to-wear,
f18m10110, Sage ,119000,"Fabric: Cambric
Color: Multi",,"Fabric: Cambric
Color: Multi",Zellbury,https://www.zellbury.com/f18m10110.html,ready-to-wear,
f18e60121,Tahbert ,179000,"Fabric: Cambric 
Color: Multi",,"Fabric: Cambric 
Color: Multi",Zellbury,https://www.zellbury.com/f18e60121.html,ready-to-wear,
f18e60113,Taj  ,299000,"Fabric: Cambric 
Color: Sky Blue ",,"Fabric: Cambric 
Color: Sky Blue ",Zellbury,https://www.zellbury.com/f18e60113.html,ready-to-wear,
canna,CanNA ,174300,Fabric: Cotton Lawn,,Fabric: Cotton Lawn,Zellbury,https://www.zellbury.com/canna.html,ready-to-wear,
bugloss,Bugloss ,149000,"Fabric: Cambric 
Color: Beige ",,"Fabric: Cambric 
Color: Beige ",Zellbury,https://www.zellbury.com/bugloss.html,ready-to-wear,
alstromeria,Alstromeria ,139000,Fabric: Khaddar ,,Fabric: Khaddar ,Zellbury,https://www.zellbury.com/alstromeria.html,ready-to-wear,
allium,Allium ,139000,Fabric: Khaddar,,Fabric: Khaddar,Zellbury,https://www.zellbury.com/allium.html,ready-to-wear,
aconite,Aconite ,149000,"Fabric: Lawn 
Color: Black",,"Fabric: Lawn 
Color: Black",Zellbury,https://www.zellbury.com/aconite.html,ready-to-wear,
daliah-precious,Daliah Precious ,129000,Casual Wear Short Frock Embellished With Buttons,,Casual Wear Short Frock Embellished With Buttons,Zellbury,https://www.zellbury.com/daliah-precious.html,ready-to-wear,
vivid-flame,Vivid Flame ,118300,Printed Cambric Shirt With Straight Hem,,Printed Cambric Shirt With Straight Hem,Zellbury,https://www.zellbury.com/vivid-flame.html,ready-to-wear,
precious-amber,Precious Amber ,146300,,,100% Lawn Kurti,Zellbury,https://www.zellbury.com/precious-amber.html,ready-to-wear,
