fileName,a,b,c,d,e,f,g,h,i,j,k,l,m
local4 (34).jpg,0.001508573,413.1684209,0.918121254,2523.419073,0.269474402,250.196251,9680.507869,7.513924793,11.34111177,0.000340688,4.445721934,-0.260865679,0.981671515
local7 (30).jpg,0.000651048,869.9343675,0.830021876,2558.989269,0.216429375,320.9031301,9366.022707,8.105913996,12.68248771,0.000227011,5.040005098,-0.232171274,0.980822995
local19 (31).jpg,0.000557765,557.0177011,0.826879518,1608.695664,0.168361199,237.5962017,5877.764953,7.917738629,12.61889743,0.000208116,4.995070425,-0.193113612,0.962807785
local46 (31).jpg,0.005837912,42.48492143,0.942908011,372.1862336,0.282464218,123.7702056,1446.260013,4.961892094,8.059963888,0.000499348,3.259049265,-0.082002826,0.683814669
local47 (31).jpg,0.000506441,345.5455341,0.852299291,1169.878603,0.140348929,144.3373118,4333.968879,7.299704404,12.00762439,0.000183839,4.896598708,-0.127086814,0.889338798
local43 (30).jpg,0.000161615,972.840767,0.854367516,3339.990727,0.094736619,177.5402268,12387.12214,8.295691088,13.50315147,0.000114446,5.568555691,-0.148618458,0.938941655
local33 (12).jpg,0.00102676,533.3225074,0.921348467,3390.810246,0.298845276,319.811058,13029.91848,8.047007181,11.76506924,0.000381675,4.291926601,-0.327557512,0.994406932
local38 (28).jpg,0.000633976,378.4541981,0.920762449,2388.25136,0.128391708,176.6306261,9174.551242,7.540339126,12.20714716,0.000165984,5.012309355,-0.165818961,0.940122826
local34 (29).jpg,0.002902333,316.4955005,0.970695916,5400.583244,0.480246812,291.8824208,21285.83748,8.361346443,11.45786128,0.000696303,3.899117816,-0.477303709,0.99953971
local40 (17).jpg,0.002500431,359.1039192,0.916915118,2161.110186,0.406286877,366.7054376,8285.336824,8.050178991,11.51179361,0.000508991,4.216527903,-0.399296238,0.998144689
local47 (18).jpg,0.000673887,121.5894854,0.94711661,1149.545733,0.27883374,159.9875839,4476.593446,7.896391027,11.61125264,0.000509334,3.931487547,-0.323314369,0.993107577
local36 (30).jpg,0.001154066,1138.773968,0.903491271,5899.782583,0.195882805,182.5166114,22460.35637,7.786984165,12.26576492,0.000212976,5.151013171,-0.192375822,0.959609095
local51 (14).jpg,0.000482193,257.1285552,0.925943799,1736.035866,0.230425701,236.7850163,6687.014911,8.181031886,12.37120143,0.000345802,4.488569237,-0.28106438,0.990099413
local29 (30).jpg,0.00081998,240.1198599,0.930975353,1739.72935,0.260548441,359.4891754,6718.79754,7.990515745,11.84090205,0.000374112,4.304751855,-0.307673778,0.989070033
local13 (12).jpg,0.159401811,141.2895542,0.983820951,4366.018795,0.679752738,351.140538,17322.78562,5.700975685,7.492891573,0.001517477,2.659184897,-0.541009902,0.997969901
local12 (45).jpg,0.209522615,339.0267214,0.982585293,9733.404854,0.721134316,368.0870927,38594.5927,5.232172913,6.892970913,0.001781435,2.626488793,-0.546117244,0.997114627
local40 (30).jpg,0.000188067,478.2067134,0.889729332,2168.237563,0.10754771,232.3473526,8194.743538,8.182249313,13.18247383,0.000135104,5.261184815,-0.171693863,0.952884021
local18 (30).jpg,0.000327449,524.9721426,0.880767273,2201.467659,0.165652768,219.8936797,8280.898493,8.172902029,12.68968056,0.000227946,4.8092478,-0.234298129,0.974773032
local42 (17).jpg,0.000749024,110.8606831,0.911221715,624.3981993,0.213727543,267.7942291,2386.732114,7.416085394,11.42869894,0.000340023,4.252011789,-0.226869864,0.967241016
local14 (33).jpg,0.000159109,1029.117669,0.800927297,2584.907348,0.106600114,202.5283492,9310.511722,8.340343477,13.74700287,0.000113714,5.657928546,-0.152593381,0.942685836
local11 (12).jpg,0.001040228,641.1449903,0.900667558,3227.178811,0.297356613,241.5990839,12267.57025,8.231789785,12.45870768,0.000336164,4.737845958,-0.284523409,0.991263587
local21 (30).jpg,0.000946649,174.7643402,0.878619859,719.9313346,0.148716667,252.372014,2704.960998,6.917949329,11.2209329,0.000219898,4.531858344,-0.147889464,0.904752361
local27 (30).jpg,0.000279181,2182.045305,0.816937956,5960.04367,0.098257911,188.774557,21658.12938,8.152824884,13.26236787,9.61E-05,5.969017859,-0.125231877,0.907544518
local26 (31).jpg,0.004365287,893.0936802,0.928262035,6225.074032,0.314160329,133.1398528,24007.20245,7.200848833,10.81739262,0.000383082,4.418580688,-0.255384518,0.977143606
local1 (36).jpg,0.001503221,778.2017624,0.907212564,4193.535614,0.20706431,112.4063187,15995.94069,7.210278844,11.36621836,0.000271988,4.63089949,-0.189439494,0.95003417
local25 (29).jpg,0.00124386,162.9333056,0.950051648,1631.092528,0.271942758,109.8974723,6361.436806,7.172054071,10.78334889,0.000379331,3.945917669,-0.271995527,0.981737741
local30 (27).jpg,0.00100529,262.8259915,0.948826757,2568.053062,0.227385755,177.8713576,10009.38626,7.49841679,11.4738069,0.000309924,4.306147714,-0.25421651,0.980707347
local42 (30).jpg,0.000245321,865.9260255,0.859587294,3083.487087,0.094105477,181.1277093,11468.02232,8.030168812,13.17544871,0.000120253,5.476383665,-0.136469447,0.922043044
local45 (30).jpg,0.000373019,683.4216446,0.879120056,2826.730886,0.116651848,202.6251449,10623.5019,7.839706012,12.676208,0.000152919,5.217773083,-0.152153291,0.930935328
