PCode,idCategory,idMaterial,idColor,idWebsite,PName,PPrice,PMaterial,Color,PDescription,Brand,Paddress,PisAvailable
cte18408-white,1,1,1,1,High-Low Top ,2200,Poplin,White,High-Low top.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/cte18408-white.html,
etdp18313-grey,1,1,1,1,Digital Printed Kurta ,2400,Lawn,Grey,Digital Printed Kurta.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/etdp18313-grey.html,
etpe18407-blue,1,1,1,1,Embroidered Kurta ,3000,Khaddar,Blue,Embroidered kurta with drop shoulder sleeves.The model is wearing size 8.Model Height: 167cm / 5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etpe18407-blue.html,
etpe18406-red,1,1,1,1,Embroidered Straight Kurta ,3000,Khaddar,Red,Straight embroidered kurta with embellished button detailing on the neckline.The model is wearing size 8.Model Height: 167cm / 5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etpe18406-red.html,
etpe18406-blue,1,1,1,1,Embroidered Straight Kurta ,3000,Khaddar,Blue,Straight embroidered kurta with embellished button detailing on the neckline.The model is wearing size 8.Model Height: 167cm / 5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etpe18406-blue.html,
etpe18405-orange,1,1,1,1,Embroidered Kurta ,3000,Khaddar,Orange,Straight embroidered kurta with tassle detailing on the neckline.The model is wearing size 8.Model Height: 167cm / 5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etpe18405-orange.html,
etpe18404-beige,1,1,1,1,Embroidered Kurta ,3000,Khaddar,Beige,"Collar neck kurta with embroidered neckline, hemline and sleeves.The model is wearing size 8.Model Height: 167cm / 5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/etpe18404-beige.html,
etpe18403-purple,1,1,1,1,Embroidered A-Line Kurta ,3000,Khaddar,Purple,Embroidered A-line kurta with side pockets.The model is wearing size 8.Model Height: 167cm / 5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etpe18403-purple.html,
etpe18402-blue,1,1,1,1,Embroidered Straight Kurta ,3000,Khaddar,Blue,Embroidered Straight Kurta.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/etpe18402-blue.html,
etp18406-white,1,1,1,1,Printed Kurta ,2000,Khaddar,White,Printed straight kurta with collar neck.The model is wearing size 8.Model Height: 167cm / 5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etp18406-white.html,
etpe18401-mustard,1,1,1,1,Embroidered Straight Kurta ,3000,Khaddar,Mustard,"Straight embroidered kurta with embellished button detailing on the neckline.The model is wearing size 8 
Model Height: 168cm / 5 feet 6 inches",Khaadi,https://www.khaadi.com/pk/etpe18401-mustard.html,
etpe18401-blue,1,1,1,1,Embroidered Straight Kurta ,3000,Khaddar,Blue,Straight embroidered kurta with embellished button detailing on the neckline.The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/etpe18401-blue.html,
efsed18402-blue,1,1,1,1,Embroidered kurta with pants ,4900,Denim,Blue,"Embroidere kurta with embroidered straight pants.The model is wearing size 8
Model Height: 168cm / 5 feet 6 inches
",Khaadi,https://www.khaadi.com/pk/efsed18402-blue.html,
efsed18401-blue,1,1,1,1,Embroidered kurta with pants ,4900,Denim,Blue,"Embroidere kurta with embroidered straight pants.The model is wearing size 8
Model Height: 168cm / 5 feet 6 inches
",Khaadi,https://www.khaadi.com/pk/efsed18401-blue.html,
ctp18409-orange,1,1,1,1,Drop Shoulder Printed Top ,2000,Khaddar,Orange,"Drop shoulder printed top.The model is wearing size 8 
Model Height: 168cm / 5 feet 6 inches",Khaadi,https://www.khaadi.com/pk/ctp18409-orange.html,
ctp18407-green,1,1,1,1,Button-Down Kurta ,2000,Khaddar,Green,Button-Down printed kurta with button detailingThe model is wearing size 8.Model Height: 167cm / 5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/ctp18407-green.html,
ctp18407-blue,1,1,1,1,Button-Down Kurta ,2000,Khaddar,Blue,Button-Down printed kurta with button detailingThe model is wearing size 8.Model Height: 167cm / 5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/ctp18407-blue.html,
cte18404-yellow,1,1,1,1,Embriodered Top ,2900,Khaddar,Yellow,"Embroidered top with side pocketsThe model is wearing size 8
Model Height: 168cm/5 feet 7 inches",Khaadi,https://www.khaadi.com/pk/cte18404-yellow.html,
cte18401-black,1,1,1,1,Embroidered Kurta ,2900,Khaddar,Black,"Embroidered KurtaThe model is wearing size 8
Model Height: 168cm / 5 feet 6 inches",Khaadi,https://www.khaadi.com/pk/cte18401-black.html,
etej18428-blue,1,1,1,1,Embroidered Kurta ,4000,Jacquard,Blue,"Embroidered kurtaThe model is wearing size 8
Model Height: 168cm / 5 feet 6 inches",Khaadi,https://www.khaadi.com/pk/etej18428-blue.html,
etej18424-blue,1,1,1,1,Embroidered kurta ,4000,Jacquard,Blue,"Straight embroidered kurtaThe model is wearing size 8
Model Height: 167cm / 5 feet 5 inches
",Khaadi,https://www.khaadi.com/pk/etej18424-blue.html,
eted18406-blue,1,1,1,1,Embriodered Overlap Kurta ,3200,Denim,Blue,"Embroidered overlap kurta with shell button detailingThe model is wearing size 8
Model Height: 167cm / 5 feet 5 inches
",Khaadi,https://www.khaadi.com/pk/eted18406-blue.html,
eted18404-blue,1,1,1,1,Embriodered Kurta ,3200,Denim,Blue,"Embroidered kurta with coin detailing on the bodiceThe model is wearing size 8 
Model Height: 168cm / 5 feet 6 inches",Khaadi,https://www.khaadi.com/pk/eted18404-blue.html,
eted18401-blue,1,1,1,1,Embroidered Kurta ,3200,NULL,Blue,Embroidered Kurta,Khaadi,https://www.khaadi.com/pk/eted18401-blue.html,
ete18409-grey,1,1,1,1,Embroidered Kurta ,3200,Khaddar,Grey,"Embroidered straight kurta with side pockets.The model is wearing size 8 
Model Height: 168cm / 5 feet 6 inches",Khaadi,https://www.khaadi.com/pk/ete18409-grey.html,
ete18408-purple,1,1,1,1,Embroidered Kurta ,3200,Khaddar,Purple,"Embbroidered kurtaThe model is wearing size 8
Model Height: 167cm / 5 feet 5 inches
",Khaadi,https://www.khaadi.com/pk/ete18408-purple.html,
ete18407-orange,1,1,1,1,Embroidered Kurta ,3200,Khaddar,Orange,Embroidered Kurta with collar neckThe model is wearing size 8Model Height: 167cm / 5 feet 5 inches,Khaadi,https://www.khaadi.com/pk/ete18407-orange.html,
ete18405-beige,1,1,1,1,Embroidered Kurta ,3200,Khaddar,Beige,"Embroidered Kurta with bell sleevesThe model is wearing size 8 
Model Height: 167cm / 5 feet 5 inches",Khaadi,https://www.khaadi.com/pk/ete18405-beige.html,
ete18402-navy-blue,1,1,1,1,Embroidered Flare Kurta ,3200,NULL,Navy Blue,Embroidered Flare Kurta,Khaadi,https://www.khaadi.com/pk/ete18402-navy-blue.html,
ete18401-white,1,1,1,1,Embroidered A-Line Kurta ,3200,Khaddar,White,Embroidered A-Line Kurta,Khaadi,https://www.khaadi.com/pk/ete18401-white.html,
ctdps18401-black,1,1,1,1,High-Low Satin Top ,2900,Sateen,Black,"Hight-Low satin top.The model is wearing size 8
Model Height: 167cm / 5 feet 5 inches",Khaadi,https://www.khaadi.com/pk/ctdps18401-black.html,
cowe18402-blue,1,1,1,1,Embroidered Top ,3500,Khaddar,Blue,"Embroidered with tassel detailing on the slevees.The model is wearing size 8
Model Height: 168cm / 5 feet 6 inches
",Khaadi,https://www.khaadi.com/pk/cowe18402-blue.html,
cowe18401-white,1,1,1,1,Embroidered Kurta ,3500,Khaddar,White,Embroidered Kurta,Khaadi,https://www.khaadi.com/pk/cowe18401-white.html,
cowd18402-blue,1,1,1,1,Embroidered Denim Kurta ,3500,Denim,Blue,Embroidered Denim kurta with front flap pocketsThe model is wearing size 8.Model Height: 167cm / 5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/cowd18402-blue.html,
cowd18401-blue,1,1,1,1,Embroidered Denim Kurta ,3500,Denim,Blue,"Embroidered Denim fornt open-kurta.The model is wearing size 8
Model Height: 168cm / 5 feet 6 inches",Khaadi,https://www.khaadi.com/pk/cowd18401-blue.html,
etpe18407-orange,1,1,1,1,Embroidered Kurta ,3000,Khaddar,Orange,Embroidered kurta with drop shoulder sleeves The model is wearing size 8 Model Height: 167cm / 5 feet 5 inches,Khaadi,https://www.khaadi.com/pk/etpe18407-orange.html,
etpe18402-beige,1,1,1,1,Embroidered kurta ,3000,Khaddar,Beige,"Straight embroidered kurtaThe model is wearing size 8 
Model Height: 167cm / 5 feet 5 inches",Khaadi,https://www.khaadi.com/pk/etpe18402-beige.html,
etp18404b-yellow,1,1,1,1,Printed Kurta ,2000,Khaddar,Yellow,"Printed kurta with tassel finish on the necklineThe model is wearing size 8
Model Height: 168cm / 5 feet 6 inches
",Khaadi,https://www.khaadi.com/pk/etp18404b-yellow.html,
etp18404b-beige,1,1,1,1,Printed Kurta ,2000,Khaddar,Beige,"Printed kurta with tassel finish on the necklineThe model is wearing size 8
Model Height: 168cm / 5 feet 6 inches
",Khaadi,https://www.khaadi.com/pk/etp18404b-beige.html,
etdp18408-mustard,1,1,1,1,A-line Front-open Kurta ,2000,Khaddar,Mustard,A-line front open printed kurta.The model is wearing size 8 Model Height: 168cm / 5 feet 6 inches,Khaadi,https://www.khaadi.com/pk/etdp18408-mustard.html,
